accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_x_deg,tilt_y_deg,vibration_rms_g,displacement_mm,crack_width_mm,label,risk_score,risk_status
-0.0473,-0.0797,0.9177,5.919,-2.088,1.733,4.378,0.0,0.02596,7.16,1.551,1,73.6,HIGH
0.0732,0.0001,0.9806,0.395,0.594,0.595,0.248,0.664,0.00293,0.11,0.023,0,10.1,LOW
-0.0395,0.0325,0.9979,-0.096,0.355,-1.216,0.527,0.848,0.00621,0.0,0.0,0,9.7,LOW
-0.0052,-0.0153,1.0086,1.421,-0.746,-1.388,0.384,0.142,0.00767,0.05,0.086,0,9.8,LOW
-0.1074,0.0868,0.9098,10.005,0.665,-8.082,3.276,4.395,0.024,10.35,0.48,1,98.3,CRITICAL
0.0199,-0.033,1.0011,1.629,-0.557,-2.158,1.27,1.004,0.00743,0.04,0.0,0,15.8,LOW
0.0024,-0.0469,1.0139,0.629,1.082,-0.028,0.672,0.611,0.00462,0.03,0.0,0,11.2,LOW
0.0951,0.0709,0.9766,-11.491,-4.842,-14.114,5.209,4.763,0.0,2.91,0.916,1,83.2,CRITICAL
0.0236,-0.0117,1.0051,0.443,1.79,-0.212,0.596,0.623,0.00571,0.04,0.035,0,10.6,LOW
-0.0027,0.0345,1.0069,-0.756,0.564,0.359,0.0,0.802,0.0032,0.0,0.0,0,7.1,LOW
0.0281,0.008,0.9432,7.687,6.722,4.38,3.966,7.286,0.01724,6.43,1.491,1,98.5,CRITICAL
0.0609,0.0046,0.867,-1.613,2.114,-2.324,1.663,2.391,0.01828,6.89,0.983,1,72.3,HIGH
-0.1419,-0.0196,0.9089,2.724,-3.718,5.096,3.333,5.905,0.01951,9.3,1.144,1,95.7,CRITICAL
-0.0246,0.01,0.9959,-1.132,-1.573,-0.855,0.83,0.646,0.0054,0.0,0.052,0,11.8,LOW
0.003,0.0137,0.9877,-2.416,1.458,0.645,0.153,1.084,0.00598,0.28,0.0,0,14.1,LOW
-0.0119,-0.0131,1.0034,1.687,-0.773,0.231,0.0,0.331,0.00232,0.0,0.0,0,5.5,LOW
0.0742,-0.0404,0.9148,-1.62,5.355,-2.806,3.871,3.564,0.02367,10.33,0.923,1,88.5,CRITICAL
0.0426,-0.0349,1.0221,1.356,-1.499,0.462,0.539,0.478,0.00374,0.0,0.0,0,12.7,LOW
0.0281,0.0239,0.9967,-0.351,1.468,0.028,0.569,0.267,0.00597,0.0,0.0,0,8.1,LOW
-0.1642,0.1417,0.9118,3.774,2.185,1.949,7.353,3.923,0.02237,6.3,0.514,1,91.8,CRITICAL
0.0492,-0.014,0.9873,-0.64,-3.531,1.632,2.072,0.874,0.02792,0.0,0.382,1,30.5,MEDIUM
0.0045,0.02,1.0062,0.138,-1.26,-0.414,0.803,0.206,0.00253,0.0,0.0,0,8.0,LOW
-0.0028,-0.005,0.9965,-0.238,-1.647,-0.289,0.25,0.191,0.00238,0.0,0.0,0,5.7,LOW
-0.0015,-0.0128,1.0051,-0.207,-0.67,0.629,0.642,0.744,0.00313,0.08,0.0,0,9.1,LOW
0.1036,0.0058,0.9069,-1.763,9.019,-4.76,2.295,3.526,0.01764,1.49,1.774,1,74.6,HIGH
-0.0016,0.0224,1.0105,0.232,-0.543,0.146,0.976,0.477,0.00683,0.09,0.048,0,11.3,LOW
-0.0297,0.0119,1.0052,-0.231,1.757,-0.291,0.344,0.654,0.00457,0.0,0.022,0,9.2,LOW
0.031,0.0185,1.0013,-0.861,-0.293,-0.242,0.709,0.715,0.00417,0.0,0.025,0,8.7,LOW
0.0031,0.0012,0.9935,-0.094,-0.574,-0.148,0.592,0.303,0.00623,0.11,0.0,0,7.9,LOW
0.0093,-0.0091,0.9873,-0.103,-0.393,2.119,1.118,0.576,0.00791,0.05,0.002,0,15.0,LOW
-0.0657,-0.0075,1.0014,1.887,2.02,-0.981,0.335,0.535,0.00119,0.14,0.011,0,8.9,LOW
-0.0338,0.0211,0.8883,-10.166,-0.085,1.009,3.98,2.668,0.01293,6.76,0.0,1,81.7,CRITICAL
0.0478,-0.0481,1.0118,-2.463,0.157,1.749,0.441,0.767,0.00105,0.0,0.0,0,12.0,LOW
-0.0923,-0.0321,0.894,1.08,2.77,-0.524,3.553,4.788,0.01892,5.12,1.82,1,84.1,CRITICAL
-0.0017,0.0018,0.9873,0.282,0.734,-0.496,0.592,0.447,0.00441,0.0,0.099,0,9.9,LOW
0.0534,0.0043,0.985,0.42,-0.079,0.034,0.412,0.258,0.0064,0.06,0.0,0,8.4,LOW
-0.0244,0.0218,1.01,-0.289,0.796,0.408,0.854,0.167,0.00555,0.25,0.0,0,9.7,LOW
0.1555,0.1254,0.9444,8.18,-3.321,-1.776,1.074,3.577,0.02486,9.99,1.496,1,78.1,HIGH
-0.0502,0.0312,0.8882,-4.423,-4.059,-6.515,4.738,4.311,0.0,8.2,1.045,1,93.5,CRITICAL
-0.031,-0.007,1.0047,-0.29,1.256,-0.621,0.675,0.461,0.00618,0.03,0.0,0,9.5,LOW
-0.0094,0.0086,0.9994,8.55,1.28,5.106,2.588,1.27,0.02391,7.5,0.956,1,57.6,MEDIUM
0.0388,0.1091,0.943,-3.251,-3.726,-0.341,3.743,4.028,0.02802,2.78,0.433,1,66.0,HIGH
-0.004,0.0082,0.9779,0.143,0.575,0.265,0.429,0.569,0.00342,0.07,0.013,0,10.6,LOW
0.0709,-0.1017,0.9773,0.402,-3.944,-3.91,2.462,2.737,0.01236,4.76,1.247,1,53.2,MEDIUM
0.0009,-0.0098,0.9924,-0.55,-1.662,-0.246,0.59,1.001,0.0048,0.0,0.053,0,12.2,LOW
-0.0242,0.0301,1.0036,1.259,0.086,0.186,0.677,0.3,0.00666,0.0,0.059,0,8.8,LOW
-0.1353,-0.1301,1.0227,5.781,-7.876,-3.473,6.195,3.928,0.01926,5.85,1.412,1,85.1,CRITICAL
-0.0374,0.0025,0.9372,7.61,-10.73,-0.075,7.935,4.336,0.03114,11.23,1.649,1,100.0,CRITICAL
-0.0596,-0.1776,1.0124,-4.738,-0.691,11.281,3.187,8.575,0.03119,3.37,0.977,1,88.9,CRITICAL
0.0135,0.0406,1.0009,-2.197,0.186,1.498,0.441,0.369,0.00431,0.0,0.0,0,8.7,LOW
0.0028,-0.0623,1.0163,0.073,0.798,0.223,0.003,0.314,0.00366,0.0,0.0,0,6.9,LOW
0.0876,0.0803,0.8664,5.484,-2.63,-5.654,2.203,2.021,0.01897,4.46,0.885,1,75.1,HIGH
0.0513,0.0303,0.9987,-0.922,0.091,0.854,0.874,0.856,0.0034,0.18,0.066,0,10.8,LOW
-0.0019,-0.0448,0.9878,-2.28,-1.327,0.047,0.531,0.392,0.00573,0.06,0.109,0,12.5,LOW
-0.0066,-0.0309,0.9897,1.759,0.88,1.191,0.838,0.57,0.00583,0.0,0.046,0,13.1,LOW
0.2092,0.019,0.8891,-3.593,3.219,2.5,4.742,4.544,0.0131,4.48,1.296,1,86.8,CRITICAL
-0.0535,0.1,1.0115,-2.789,-6.449,2.052,3.046,5.271,0.0173,7.51,1.211,1,72.8,HIGH
0.0194,0.0173,0.9983,-0.148,0.665,-2.19,0.737,0.994,0.00764,0.07,0.0,0,13.1,LOW
0.0196,0.0582,1.0127,-0.884,-1.031,-0.03,0.484,0.863,0.00553,0.0,0.0,0,11.6,LOW
-0.0545,0.137,0.9613,-4.037,-2.034,4.517,3.599,1.87,0.02792,5.09,1.077,1,63.1,HIGH
-0.0147,0.0438,0.9783,-0.543,0.374,0.104,0.85,0.356,0.0038,0.07,0.016,0,11.5,LOW
0.0201,0.0209,1.0016,-0.487,-0.264,-0.82,0.199,0.751,0.00439,0.0,0.014,0,7.0,LOW
0.0318,0.0591,1.0063,0.455,-0.24,0.711,0.0,0.817,0.00544,0.13,0.026,0,7.9,LOW
-0.0993,0.0025,0.9953,-9.1,-1.372,1.76,3.392,5.971,0.0,5.56,0.743,1,67.3,HIGH
-0.0507,0.0225,1.0157,-0.535,-1.179,-0.122,0.704,0.504,0.00526,0.17,0.0,0,11.8,LOW
-0.018,0.1004,0.9891,3.351,3.384,-2.643,3.143,1.247,0.02102,2.39,1.628,1,47.1,MEDIUM
-0.0111,0.0449,1.0124,0.476,-0.649,0.78,0.432,0.211,0.00556,0.0,0.0,0,8.4,LOW
-0.0388,0.0257,0.9841,-1.148,-0.04,-2.683,0.858,0.436,0.00367,0.0,0.071,0,14.2,LOW
0.0032,0.0753,0.9854,-0.038,0.854,-0.602,0.712,0.382,0.00523,0.0,0.0,0,10.4,LOW
0.0437,-0.0004,0.9901,-1.929,0.01,-0.964,0.895,0.53,0.00829,0.04,0.0,0,13.5,LOW
0.0045,-0.037,0.9988,-1.603,-1.782,-0.172,0.785,0.325,0.00607,0.0,0.032,0,10.3,LOW
-0.0256,-0.0402,1.0032,-1.386,1.037,-0.11,1.066,0.388,0.00698,0.0,0.0,0,11.2,LOW
-0.0492,-0.0093,0.9937,-1.977,-0.831,0.193,0.622,0.742,0.0042,0.0,0.073,0,11.6,LOW
-0.0623,-0.0206,0.9829,1.651,0.568,-1.712,0.619,0.788,0.00364,0.06,0.0,0,13.9,LOW
0.0292,-0.0171,1.0044,0.02,-1.267,0.457,0.679,0.991,0.007,0.0,0.012,0,11.7,LOW
0.0561,-0.003,1.012,-1.656,-0.953,0.373,0.459,0.587,0.00116,0.0,0.063,0,10.2,LOW
0.0076,-0.0188,1.0047,-0.002,3.896,0.601,0.771,0.288,0.00263,0.17,0.009,0,12.3,LOW
0.1779,-0.0156,0.932,-1.282,5.111,-1.287,2.759,4.856,0.00598,1.04,0.599,1,59.1,MEDIUM
-0.005,-0.0228,1.0041,-1.013,1.217,-0.116,0.0,0.23,0.00503,0.0,0.0,0,5.6,LOW
-0.0084,-0.0026,0.9849,0.155,1.372,-1.282,0.595,0.403,0.00349,0.0,0.0,0,10.9,LOW
0.0235,0.0116,0.9843,-1.196,-1.544,-1.759,0.399,0.658,0.00608,0.01,0.03,0,13.3,LOW
-0.0017,-0.0164,1.0195,0.935,-1.219,1.147,0.0,0.418,0.01007,0.0,0.054,0,11.7,LOW
0.1925,0.1005,0.8992,-5.458,1.504,1.538,6.529,3.167,0.01741,5.6,0.764,1,88.0,CRITICAL
0.0357,-0.0015,1.0174,-0.468,0.996,-0.678,0.191,0.741,0.00713,0.0,0.008,0,11.3,LOW
-0.0034,0.0315,0.9996,1.551,-0.291,-0.753,0.345,0.106,0.00456,0.23,0.011,0,6.4,LOW
-0.0935,-0.0373,1.0341,6.677,-7.972,2.332,0.0,3.992,0.02167,5.91,1.323,1,63.7,HIGH
-0.0194,-0.0014,1.001,0.621,1.288,-0.645,0.268,0.485,0.00424,0.2,0.0,0,7.2,LOW
-0.0339,-0.057,0.9938,-0.867,-0.757,-1.096,0.338,0.206,0.00641,0.0,0.0,0,7.7,LOW
-0.0091,-0.0353,1.0083,1.336,0.266,1.388,0.164,0.195,0.00572,0.11,0.056,0,8.2,LOW
0.074,-0.1216,0.9039,4.79,2.629,5.268,1.536,1.532,0.03044,2.09,0.464,1,58.5,MEDIUM
0.0022,0.013,0.9862,0.391,-1.517,-0.21,0.551,0.189,0.00706,0.03,0.057,0,10.6,LOW
0.0065,0.0359,0.9862,0.696,-0.513,0.081,0.933,0.777,0.00741,0.0,0.04,0,13.3,LOW
0.0007,-0.0066,1.0032,-0.623,1.632,-2.921,0.573,0.815,0.00633,0.11,0.082,0,13.8,LOW
0.0049,-0.0192,1.0169,-1.251,0.501,-0.548,0.391,0.756,0.00104,0.0,0.0,0,10.5,LOW
0.0022,-0.0145,0.9939,2.308,-0.403,0.2,0.289,0.304,0.00201,0.0,0.029,0,7.9,LOW
-0.0482,0.1279,0.9783,-1.218,4.923,6.121,0.0,3.269,0.01412,1.04,0.828,1,39.8,MEDIUM
-0.073,-0.0045,0.8744,-4.247,-1.545,-9.489,5.212,5.869,0.03936,2.24,0.635,1,100.0,CRITICAL
-0.0066,0.0597,1.0009,0.732,0.187,-0.04,0.422,0.454,0.00516,0.15,0.043,0,6.9,LOW
0.0353,-0.0106,1.001,0.314,1.651,-0.484,0.31,1.136,0.0028,0.0,0.046,0,9.7,LOW
-0.0119,0.0251,0.9841,-0.63,1.539,1.988,0.109,0.327,0.005,0.0,0.049,0,10.6,LOW
-0.0087,-0.0203,0.9965,-0.105,-0.486,1.22,0.802,0.44,0.00532,0.0,0.028,0,9.4,LOW
0.0056,-0.0681,0.9699,2.5,3.556,0.144,7.075,2.215,0.02356,4.09,1.715,1,73.5,HIGH
-0.0027,0.0247,0.9993,0.78,-0.02,0.68,0.813,0.0,0.00382,0.0,0.0,0,6.1,LOW
-0.0138,0.0265,0.9909,0.156,0.181,-1.003,0.714,0.355,0.00677,0.06,0.0,0,9.8,LOW
0.007,0.0075,0.9955,0.234,1.308,0.114,0.712,0.387,0.007,0.0,0.078,0,9.8,LOW
-0.0033,-0.0074,0.9998,-1.197,-0.129,0.398,0.347,0.304,0.00379,0.0,0.0,0,5.7,LOW
-0.0204,0.0133,0.9965,1.422,1.175,0.514,0.636,0.059,0.0033,0.11,0.013,0,7.6,LOW
0.0073,0.0206,0.996,-1.128,1.034,-0.128,0.602,0.0,0.0063,0.14,0.065,0,8.0,LOW
0.0189,-0.0267,0.9969,-0.642,-1.431,-0.605,0.248,0.566,0.00516,0.01,0.007,0,8.0,LOW
0.0019,-0.0367,0.9039,-4.002,4.261,-4.65,5.621,4.441,0.02788,9.17,1.031,1,100.0,CRITICAL
-0.0268,-0.0092,1.0156,-0.827,1.19,0.372,0.455,0.734,0.00682,0.0,0.011,0,12.2,LOW
-0.0267,-0.0445,1.0007,-0.627,0.529,-2.86,0.578,0.493,0.00428,0.0,0.0,0,10.2,LOW
-0.0279,0.04,0.9986,1.054,0.374,-0.85,0.298,0.747,0.00564,0.0,0.0,0,8.3,LOW
0.0331,0.0161,1.0045,0.149,0.108,-1.248,0.311,0.552,0.00288,0.0,0.0,0,7.1,LOW
0.0693,0.0095,1.0135,0.167,-0.734,-0.359,0.552,0.891,0.00406,0.32,0.0,0,11.6,LOW
-0.0162,0.0073,1.0,-0.662,-0.685,-2.717,0.644,0.932,0.00416,0.0,0.0,0,11.9,LOW
0.0364,-0.0543,0.9948,-2.142,-1.56,0.097,0.256,0.857,0.00633,0.1,0.001,0,11.6,LOW
0.0236,-0.0126,1.0043,-0.453,-0.383,-0.185,0.325,0.67,0.005,0.0,0.019,0,7.4,LOW
-0.048,0.0104,1.0143,0.389,0.595,-1.123,0.663,0.098,0.00696,0.0,0.0,0,10.0,LOW
-0.0282,-0.0622,0.9873,0.133,0.422,-1.606,0.674,0.745,0.00592,0.0,0.0,0,12.5,LOW
-0.0183,0.0243,0.9987,0.559,0.112,0.789,0.341,0.259,0.00206,0.05,0.0,0,4.8,LOW
-0.0857,0.0513,0.9379,-1.17,2.132,-2.85,2.47,0.429,0.00449,0.44,1.441,1,39.1,MEDIUM
0.0025,-0.0087,0.9773,0.029,-2.778,0.345,0.868,1.015,0.00984,0.11,0.002,0,19.5,LOW
-0.0246,-0.0039,0.9961,-0.229,1.871,-1.35,0.196,1.164,0.00378,0.05,0.031,0,11.1,LOW
-0.009,-0.0286,0.998,-0.134,-2.498,-0.941,0.336,0.554,0.00592,0.05,0.0,0,9.8,LOW
-0.0262,-0.0144,0.9981,1.173,-1.287,0.295,0.424,0.258,0.00524,0.01,0.101,0,7.9,LOW
0.0451,0.0662,0.9976,1.447,0.093,0.455,0.836,0.936,0.00653,0.0,0.008,0,11.8,LOW
-0.0692,0.0771,0.9105,-8.138,2.896,-9.94,3.486,0.002,0.01518,11.62,1.0,1,84.4,CRITICAL
-0.0415,0.0108,0.9947,-0.086,0.139,-0.106,0.839,0.868,0.00365,0.0,0.0,0,9.3,LOW
-0.0437,0.0287,1.0135,-0.965,-0.375,-0.298,0.421,0.586,0.00405,0.0,0.003,0,9.6,LOW
0.0149,0.016,1.0052,-0.377,1.198,0.91,0.295,0.127,0.00484,0.18,0.0,0,6.9,LOW
-0.0181,0.0649,0.988,-0.362,0.122,0.66,0.337,0.239,0.00497,0.07,0.0,0,7.5,LOW
0.1243,0.0861,0.9234,-5.637,1.696,0.795,0.973,2.121,0.01401,1.24,1.218,1,49.4,MEDIUM
-0.0049,-0.0401,0.9907,-3.417,0.4,1.973,1.875,2.572,0.03468,8.97,0.351,1,55.7,MEDIUM
-0.028,0.0288,0.9958,-1.893,-0.738,-0.738,0.482,0.273,0.00508,0.03,0.007,0,8.7,LOW
-0.0078,0.0613,0.9915,-0.028,1.086,-1.044,0.494,0.542,0.00495,0.0,0.099,0,10.1,LOW
-0.0082,-0.0072,1.0035,-1.682,-0.75,2.243,0.561,0.627,0.00527,0.03,0.0,0,11.4,LOW
